vin,date,hour,max_velocity_per_vin,rank
4T1BF1FK8FUB03575,28,9,450,1
3C3CFFJH9DT711213,28,9,190,2
1FMYU96H95KD42711,28,9,190,3
JTMKF4DV0A5016322,28,9,190,4
KMHFC46F87A211273,28,9,190,5
WVWHP9AN8AE560303,28,9,190,6
JTHBN36F665857215,28,9,190,7
1C4NJDBB0GD610265,28,9,190,8
YV1CZ852051206734,28,9,190,9
SAJAD03P25FN31904,28,9,190,10
4T1BF1FK8FUB03575,28,8,450,1
1D3HW58J16S586904,28,8,190,2
YV1CZ852051206734,28,8,190,3
WDBCB20AXEA063442,28,8,160,4
ZARBA5642K1063245,28,8,160,5
9BWEL41J484018815,28,8,150,6
WVWHP9AN8AE560303,28,8,150,7
ZHWGE11S04LA00780,28,8,150,8
SCFBB03B07GC02942,28,8,150,9
4TAPN62N0TZ087521,28,8,150,10
